INFO: Step: 990 Loss (uniform, nss, element centers, inside box): (0.014990199, [0.0010793409, 0.013900849, 1.001e-05, 0.0])    Steps/second: 1.3082287236886208
INFO: Step: 1000        Loss (uniform, nss, element centers, inside box): (0.014834372, [0.0011944217, 0.013568521, 7.142931e-05, 0.0]) Steps/second: 1.7013993624230714
INFO: Writing checkpoint to /mnt/c/users/jryan/documents/github/ldif/ldif/trained_models//sif-transcoder-ldif_7/1-hparams/train/model.ckpt...
INFO: Step: 1010        Loss (uniform, nss, element centers, inside box): (0.012249814, [0.00032773195, 0.011912073, 1.001e-05, 0.0])   Steps/second: 0.7844262319302822
INFO: Step: 1020        Loss (uniform, nss, element centers, inside box): (0.01312053, [0.00091347867, 0.012197042, 1.001e-05, 0.0])    Steps/second: 1.3935035612332816
INFO: Step: 1030        Loss (uniform, nss, element centers, inside box): (0.013334955, [0.0006087019, 0.012716243, 1.001e-05, 0.0])    Steps/second: 1.5171315285189566
INFO: Step: 1040        Loss (uniform, nss, element centers, inside box): (0.013421943, [0.00084331597, 0.012568617, 1.001e-05, 0.0])   Steps/second: 1.8331995028604406
INFO: Step: 1050        Loss (uniform, nss, element centers, inside box): (0.014539315, [0.00056071545, 0.01396859, 1.001e-05, 0.0])    Steps/second: 1.991874746848647
INFO: Step: 1060        Loss (uniform, nss, element centers, inside box): (0.013849894, [0.0007174217, 0.013059056, 7.3414805e-05, 0.0])        Steps/second: 1.8459253447292991
INFO: Step: 1070        Loss (uniform, nss, element centers, inside box): (0.013436713, [0.0011013884, 0.012325315, 1.001e-05, 0.0])    Steps/second: 1.9816358101465912
INFO: Step: 1080        Loss (uniform, nss, element centers, inside box): (0.014712471, [0.0014416698, 0.013260791, 1.001e-05, 0.0])    Steps/second: 1.9390526061423754
INFO: Step: 1090        Loss (uniform, nss, element centers, inside box): (0.013363604, [0.001357221, 0.0119963735, 1.001e-05, 0.0])    Steps/second: 1.7506462396556994
